Date,IYT,RWR,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
24JUN2013,-0.0197,-0.0032,-0.0159,-0.0148,-0.0178,-0.0168,-0.0121,-0.0042,-0.0008,-0.0084,-0.0092
25JUN2013,0.0186,0.0182,0.0060,0.0129,0.0186,0.0112,0.0083,0.0017,0.0131,0.0051,0.0090
26JUN2013,0.0069,0.0130,0.0047,0.0062,0.0102,0.0099,0.0059,0.0104,0.0127,0.0144,0.0125
27JUN2013,0.0090,0.0203,-0.0005,0.0019,0.0129,0.0099,0.0049,0.0045,0.0021,0.0036,0.0086
28JUN2013,-0.0050,-0.0046,-0.0056,-0.0042,-0.0064,-0.0058,-0.0044,-0.0063,0.0024,-0.0077,0.0036
01JUL2013,0.0124,-0.0042,0.0059,0.0072,0.0033,0.0101,0.0054,0.0073,-0.0125,0.0027,0.0069
02JUL2013,-0.0062,0.0160,-0.0031,0.0022,0.0010,-0.0107,0.0016,0.0013,-0.0003,-0.0021,0.0018
03JUL2013,-0.0034,-0.0077,0.0003,-0.0006,-0.0031,0.0005,0.0058,-0.0020,-0.0038,-0.0015,0.0046
05JUL2013,0.0157,-0.0031,0.0068,0.0124,0.0180,0.0157,0.0065,0.0025,-0.0029,0.0137,0.0108
08JUL2013,0.0007,0.0024,0.0057,0.0065,0.0073,0.0027,-0.0006,0.0100,0.0144,0.0056,0.0093
09JUL2013,0.0238,0.0137,0.0154,0.0102,0.0085,0.0142,0.0039,0.0074,0.0072,0.0028,0.0039
10JUL2013,-0.0078,-0.0009,-0.0003,-0.0062,-0.0057,-0.0002,0.0032,0.0012,0.0056,0.0067,0.0010
11JUL2013,0.0136,0.0257,0.0162,0.0080,0.0095,0.0159,0.0169,0.0157,0.0161,0.0129,0.0143
12JUL2013,-0.0047,-0.0063,-0.0035,0.0056,0.0069,-0.0060,0.0006,0.0002,0.0031,0.0061,0.0047
15JUL2013,0.0048,0.0036,0.0025,-0.0009,0.0044,0.0036,0.0028,0.0014,0.0163,0.0010,-0.0025
16JUL2013,-0.0075,-0.0001,-0.0075,-0.0061,-0.0039,-0.0054,0.0008,-0.0036,-0.0055,-0.0058,-0.0054
17JUL2013,0.0090,0.0051,0.0093,0.0044,0.0042,0.0029,0.0008,0.0019,-0.0004,0.0026,0.0005
18JUL2013,0.0170,0.0095,0.0005,0.0106,0.0135,0.0101,-0.0025,0.0034,0.0087,0.0028,0.0057
19JUL2013,0.0003,-0.0031,0.0065,0.0139,0.0005,0.0102,-0.0170,0.0058,0.0003,0.0132,-0.0008
22JUL2013,-0.0008,0.0043,0.0010,-0.0032,0.0068,0.0007,0.0030,-0.0022,-0.0010,0.0049,-0.0007
23JUL2013,-0.0093,-0.0009,0.0030,0.0017,-0.0038,-0.0007,-0.0041,-0.0019,0.0025,-0.0035,-0.0013
24JUL2013,-0.0115,-0.0202,-0.0094,-0.0111,-0.0072,-0.0077,0.0067,-0.0065,-0.0152,-0.0016,-0.0034
25JUL2013,0.0004,0.0014,0.0094,0.0067,0.0010,0.0004,0.0006,0.0053,0.0093,0.0049,0.0014
26JUL2013,0.0060,0.0006,-0.0037,-0.0025,-0.0010,-0.0033,0.0028,-0.0012,0.0036,0.0065,0.0032
